uppercase|lowercase|name|comment|example
A|a|Á||
Á|á|Á agúdu||
À|à|Á grávi||
Ã|ã|Á nazáu||ãtxis (pt. antes)
Ä|ä|Á dúplu||äcéla/aacéla (pt. àquela)
E|e|È||
É|é|È agúdu||
È|è|È grávi||
Ë|ë|È dúplu||eĩprëĩðimèĩtu/eĩpreeĩðimèĩtu (pt. empreendimento)
I|i|Í||
Í|í|Í agúdu||
Ĩ|ĩ|Í nazáu||ĩðijèĩtxi (pt. indigente)
Ï|ï|Í dúplu||macïájeĩ/maciiájeĩ (pt. maquiagem)
O|o|Ò||
Ó|ó|Ò agúdu||
Ò|ò|Ò grávi||
Ö|ö|Ò dúplu||zönózi/zoonózi (pt. zoonose)
U|u|Ú||
Ú|ú|Ú agúdu||
Ũ|ũ|Ú nazáu||ũ (pt. um)
Ü|ü|Ú dúplu||acüádu/acuuádu (pt. acuado)
Û|û|Ú agúdu-grávi||sû (pt. sul); azû (pt. azul)
