id, language, name          , phonetics, grammar, lexicalSimilarityEN, ratio, ratioAdjusted, alphabet      , regex                                       , comment
 1, EN      , English       ,         1,       1,                 100,  1.00,          1.00, Latin         , "[A-Za-z]"                                  , "Chaotic spelling with nearly no grammar rules."
 2, NO      , Norwegian     ,         5,       2,                  60,  2.50,          1.50, Latin         , "[A-Za-zæøåÆØÅ]"                            , "Very simple grammar with relatively consistent pronunciation."
 3, DA      , Danish        ,         2,       2,                  60,  1.00,          0.60, Latin         , "[A-Za-zæøåÆØÅ]"                            , "Simple grammar but notorious for 'swallowed' sounds."
 4, SV      , Swedish       ,         5,       3,                  60,  1.67,          1.00, Latin         , "[A-Za-zäåöÄÅÖ]"                            , "Musical pitch accent and straightforward grammar."
 5, NL      , Dutch         ,         5,       3,                  63,  1.67,          1.05, Latin         , "[A-Za-zëéíóúËÉÍÓÚ]"                        , "Predictable spelling but tricky guttural sounds."
 6, ES      , Spanish       ,         7,       4,                  33,  1.75,          0.58, Latin         , "[A-Za-zñáéíóúüÑÁÉÍÓÚÜ]"                    , "Gold standard for phonetic consistency; mid-level verb complexity."
 7, IT      , Italian       ,         7,       4,                  33,  1.75,          0.58, Latin         , "[A-Za-zàèéìòóùÀÈÉÌÒÓÙ]"                    , "Standard version is perfectly phonetic with logical grammar."
 8, BG      , Bulgarian     ,         7,       4,                  25,  1.75,          0.44, Cyrillic      , "[а-яА-ЯёЁ]"                                , "Highly phonetic Cyrillic; rare Slavic language without cases."
 9, MK      , Macedonian    ,         7,       4,                  25,  1.75,          0.44, Cyrillic      , "[а-яА-ЯёЁ]"                                , "Very similar to Bulgarian; highly transparent reading."
10, PT      , Portuguese    ,         5,       5,                  33,  1.00,          0.33, Latin         , "[A-Za-zàáâãçéêíóôõúÀÁÂÃÇÉÊÍÓÔÕÚ]"          , "Consistent standard phonetics but heavy on verb tenses."
11, RO      , Romanian      ,         7,       5,                  33,  1.40,          0.46, Latin         , "[A-Za-zăâîșțĂÂÎȘȚ]"                        , "Phonetic Latin language that strangely preserved cases."
12, CA      , Catalan       ,         6,       5,                  33,  1.20,          0.40, Latin         , "[A-Za-zàèéíïòóúüçÀÈÉÍÏÒÓÚÜÇ]"              , "Bridge between Spanish and French; mostly consistent."
13, CY      , Welsh         ,         6,       5,                  20,  1.20,          0.24, Latin         , "[A-Za-zâêîôûŵŷÂÊÎÔÛŴŶ]"                    , "Logical spelling once the unique Celtic system is learned."
14, FR      , French        ,         3,       5,                  45,  0.60,          0.27, Latin         , "[A-Za-zàâæçéèêëîïôœùûüÿÀÂÆÇÉÈÊËÎÏÔŒÙÛÜŸ]"  , "Predictable reading but extremely redundant silent letters."
15, SH      , Serbo-Croatian,         7,       6,                  25,  1.17,          0.29, Latin/Cyrillic, "[A-Za-zčćđšžČĆĐŠŽ]"                        , "Strictly phonetic ('write as you speak') but complex cases."
16, LA      , Latin         ,         7,       6,                  35,  1.17,          0.41, Latin         , "[A-Za-z]"                                  , "Highly consistent classic pronunciation with rigid declensions."
17, MT      , Maltese       ,         6,       6,                  15,  1.00,          0.15, Latin         , "[A-Za-zċġħżĊĠĦŻ]"                          , "Semitic roots with a Latin-influenced grammatical structure."
18, SQ      , Albanian      ,         6,       6,                  20,  1.00,          0.20, Latin         , "[A-Za-zçëÇË]"                              , "Independent branch; consistent spelling but isolated grammar."
19, LV      , Latvian       ,         6,       6,                  25,  1.00,          0.25, Latin         , "[A-Za-zāčēģīķļņšūžĀČĒĢĪĶĻŅŠŪŽ]"            , "Complex Baltic grammar with consistent vowel markings."
20, DE      , German        ,         6,       6,                  60,  1.00,          0.60, Latin         , "[A-Za-zäöüßÄÖÜ]"                           , "Very consistent standard rules but rigid syntax and cases."
21, EL      , Greek         ,         5,       6,                  25,  0.83,          0.21, Greek         , "[α-ωΑ-ΩάέήίόύώΆΈΉΊΌΎΏ]"                    , "Consistent reading but difficult historical spelling."
22, GA      , Irish         ,         3,       6,                  20,  0.50,          0.10, Latin         , "[A-Za-záéíóúÁÉÍÓÚ]"                        , "Archaic spelling meets complex initial mutations."
23, FI      , Finnish       ,         7,       7,                  10,  1.00,          0.10, Latin         , "[A-Za-zäöÄÖ]"                              , "Perfect phonetics but 15 cases of grammatical torture."
24, ET      , Estonian      ,         7,       7,                  10,  1.00,          0.10, Latin         , "[A-Za-zäöüõÄÖÜÕ]"                          , "Similar to Finnish; transparent but case-heavy."
25, EU      , Basque        ,         7,       7,                   5,  1.00,          0.05, Latin         , "[A-Za-zñÑ]"                                , "Pure isolate; easy to read, unique ergative grammar."
26, CS      , Czech         ,         7,       7,                  25,  1.00,          0.25, Latin         , "[A-Za-záčďéěíňóřšťúůýžÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ]"    , "Strictly phonetic but one of the hardest Slavic grammars."
27, SK      , Slovak        ,         7,       7,                  25,  1.00,          0.25, Latin         , "[A-Za-záäčďéíĺľňóôŕšťúýžÁÄČĎÉÍĹĽŇÓÔŔŠŤÚÝŽ]", "Phonetic and regular; slightly more 'central' than Czech."
28, PL      , Polish        ,         6,       7,                  25,  0.86,          0.21, Latin         , "[A-Za-ząćęłńóśźżĄĆĘŁŃÓŚŹŻ]"                , "Consistent rules but dense clusters and 7 cases."
29, IS      , Icelandic     ,         6,       7,                  55,  0.86,          0.47, Latin         , "[A-Za-záéíóúýþæöÁÉÍÓÚÝÞÆÖ]"                , "Preserved Viking grammar with strict standard phonetics."
30, LT      , Lithuanian    ,         6,       7,                  25,  0.86,          0.21, Latin         , "[A-Za-ząčęėįšųūžĄČĘĖĮŠŲŪŽ]"                , "Archaic Indo-European features with extreme complexity."
31, SL      , Slovene       ,         6,       7,                  25,  0.86,          0.21, Latin         , "[A-Za-zčšžČŠŽ]"                            , "Consistent spelling; unique for keeping the dual number."
32, UK      , Ukrainian     ,         6,       7,                  25,  0.86,          0.21, Cyrillic      , "[а-яА-ЯіїєґІЇЄҐ]"                          , "Highly melodic and more phonetic than Russian."
33, BE      , Belarusian    ,         6,       7,                  25,  0.86,          0.21, Cyrillic      , "[а-яА-ЯёіўЁІЎ]"                            , "Complex Slavic grammar with very phonetic spelling."
34, HU      , Hungarian     ,         6,       7,                  10,  0.86,          0.09, Latin         , "[A-Za-záéíóöőúüűÁÉÍÓÖŐÚÜŰ]"                , "Agglutinative nightmare with logic unrelated to other EU languages."
35, RU      , Russian       ,         5,       7,                  25,  0.71,          0.18, Cyrillic      , "[а-яА-ЯёЁ]"                                , "Heavy grammar and vowel reduction even in the standard."
