vogal, altura, tonicidade, normal, nasal
a    , aguda , forte     , á     , 
a    , aguda , fraca     , a     , 
a    , grave , forte     , ó/ú   , ô/û
a    , grave , fraca     , o/u   , õ/ũ
e    , aguda , forte     , ǽ     , 
e    , aguda , fraca     , æ     , 
e    , grave , forte     , é     , 
e    , grave , fraca     , e     , 
i    , aguda , forte     , í     , î
i    , aguda , fraca     , i     , ĩ
y    , aguda , fraca     , y     , ỹ
o    , aguda , forte     , ć     , 
o    , aguda , fraca     , c     , 
o    , grave , forte     , ḉ/ǿ   , 
o    , grave , fraca     , ç/ø   , 
u    , aguda , forte     , ú/ó   , û/ô
u    , aguda , fraca     , u/o   , ũ/õ
v    , aguda , fraca     , v     , ṽ
ł    , aguda , fraca     , ł     , 

NOSU SEỸOHR JEZÚS CRISTU
NCSU SEỸØHR JEZÚS KRISTU
NCSO SEỸØHR JEZÓS KRISTO
NCSU SEỸÇHR JEZÚS KRISTU

NOSA SEỸORA DAS DORIS
NCSA SEỸCRA DAS DØRIS
NCSA SEỸCRA DAS DØRIS
NCSA SEỸCRA DAS DÇRIS
