uppercase|lowercase|name|comment
A|a|A|
B|b|Be|
C|c|Ca|"C" agora tem sempre som de "k". trocar o "c" por "k"?
D|d|De|decidi não adicionar a letra "dji" (dji, "d+j"), porque a pronúncia de outros encontros consonatais (e.g. "br" em Brazíu, pt. Brasil) não requerem uma letra inteira dedicada no alfabeto; e, além disso, (basicamente) não existem consoantes mudas em português; portanto, o "dji" deve ser escrito com encontro consonantal de "d+j"
E|e|E|
F|f|Éfi|
G|g|Ge|"g" agora é "g", "j" agora é "j": o primeiro "g" em "garagem" é um "g", o segundo, um "j". portanto, "garájeĩ".
H|h|Ha|temos três tipos de "r" em português. no português fonético, cada tipo de "r" é sua própria letra. o "h" sempre foi sub-(e mal-)utilizado no português, mas agora é uma letra muito útil: é o "r" gutural ou "europeu" (e.g. "hjem" em norueguês, "heim" em alemão, "home" em inglês, idem para o típico "r" francês). exemplo: a palavra restaurador tem os três tipos de "r". em português fonético é escrita: hestauradòʀ. analogamente, em restaurante: hestaurãtxi. o "h" não é mais utilizado para escrever a consoante plosiva palatar aproximada, pois essa é um som vocálico resultante de vogais nasais seguidas de outras vogais pelo princípio vocálico-aglutinante. idem para "lh", que sempre redunda em "lli" + "vogal".
I|i|I|
J|j|Jóta|"g" agora é "g", "j" agora é "j": o primeiro "g" em "garagem" é um "g", o segundo, um "j". portanto, "garájeĩ".
L|l|Élli|o "l" não é mais utilizado com "h" para produzir o som de "lh", pois esse sempre carrega, implicitamente, um "lli" + "vogal" (o "i" é residual e pouco pronunciado). o "l" também não é mais utilizado após vogais, pois esse som sempre é de "u" ou de "û" ("u" ascendente-descendente). por exemplo: áuma (alma), sû (pt. sul), azû (pt. azul).
M|m|Emi|"m" não é mais utilizado para nasalizar vogais, porque de fato todos os sons nasais em português são vocálicos.
N|n|Eni|"n" não é mais utilizado para nasalizar vogais, porque de fato todos os sons nasais em português são vocálicos.
O|o|O|
P|p|Pe|
R|ʀ|Éhi|o segundo tipo de "r" no português agora é sua própria letra. esse "r" não é fricativo nem (necessariamente) gutural: é um "r" "coringa", ou "regionalista", que pronuncia-se, no interior, "puxado", e em outros lugares como "há" ("h", "r" europeu). exemplo: a palavra restaurador tem os três tipos de "r". em português fonético é escrita: hestauradòʀ. ou usar "ꭆ"? obs: a princípio, Éhi nunca é maiúsculo, porque nenhuma palavra, por definição, pode começar com r pós-vocálico (Éhi); mas, é preciso da letra maiúscula para quando se escreve em caixa alta. convém, portanto, utilizar um "R" maiúsculo pequeno para grafar o "éhi" (ʀ).
Г|r|Éri|o "r" fricativo é o último tipo de "r" no português. exemplo: a palavra restaurador tem os três tipos de "r". em português fonético é escrita: hestauradòʀ. a princípio, sua letra maiúscula deve ser apenas a letra minúscula "r" em caixa alta. porém, parece que não existe em unicode "r" minúsculo maiúsculo, embora haja "R" maiúsculo minúsculo ("ʀ"). por enquanto usemos a letra grega gama maiúscula como placeholder. HESTAUՐADÒR? HESTAUГADÒR? alternativamente, podemos trazer a letra grega pi de volta e mudar o p de volta para um r (como é em russo, por exemplo, Пп). e.g. пpĩsíпiu (fica muito alienígena para nós, latinos).
S|s|Ési|não existe mais dois "s" ("ss"), nem a abominação que é o cedilha ("ç"), nem "s" com som de "z": agora "s" é sempre "s". cáza é escrito com "z".
T|t|Te|cf. "Dè" e "Djí".
U|u|U|
V|v|Ve|
X|x|Xis|agora que não existe mais "ch", o "x" é muito mais utilizado: "xá" agora se escreve com "x", não "ch" (pt. chá).
Z|z|Ze|conforme em "s", o "z" agora é uniformemente utilizado para o som de "z" propriamente dito: de novo, cáza é com "z".
